measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Massachusetts,Female,All ages,Cervical cancer,Number,1980,156.02700227127883,167.40918877219258,144.93525917317947
Deaths,Massachusetts,Female,All ages,Cervical cancer,Rate,1980,5.121601929829415,5.495223338304616,4.757514355054196
Deaths,Oregon,Female,All ages,Cervical cancer,Number,1980,57.602448197465,62.026100578873844,52.86124290255513
Deaths,Oregon,Female,All ages,Cervical cancer,Rate,1980,4.2565267735563665,4.583412095059106,3.9061759133372154
Deaths,United States of America,Female,All ages,Cervical cancer,Number,1980,6585.471961471475,6781.6222760518185,6280.966049685704
Deaths,United States of America,Female,All ages,Cervical cancer,Rate,1980,5.579121543534115,5.745297400366961,5.3211483105575255
Deaths,Washington,Female,All ages,Cervical cancer,Number,1981,88.35462696685285,94.50709110720108,81.63093155916694
Deaths,Washington,Female,All ages,Cervical cancer,Rate,1981,4.104575687195713,4.390392690715988,3.792221737596107
Deaths,Indiana,Female,All ages,Cervical cancer,Number,1981,168.77359246581128,179.54379194255264,156.4476384312602
Deaths,Indiana,Female,All ages,Cervical cancer,Rate,1981,5.898414107872673,6.274818352221993,5.4676382968694535
Deaths,Colorado,Female,All ages,Cervical cancer,Number,1980,53.968786460045095,57.71467663873167,49.504812841881844
Deaths,Colorado,Female,All ages,Cervical cancer,Rate,1980,3.6501259760983045,3.9034755868952375,3.348209495683492
Deaths,Delaware,Female,All ages,Cervical cancer,Number,1982,19.865852978530217,21.34670702016174,18.35469411914795
Deaths,Delaware,Female,All ages,Cervical cancer,Rate,1982,6.266407775504117,6.733522642955078,5.789733673632474
Deaths,Pennsylvania,Female,All ages,Cervical cancer,Number,1980,383.50625352257043,406.06358938038494,356.076112749064
Deaths,Pennsylvania,Female,All ages,Cervical cancer,Rate,1980,6.131257808279138,6.49189036731004,5.692721895878792
Deaths,South Carolina,Female,All ages,Cervical cancer,Number,1982,101.3077609083101,108.07498026336063,93.97296839255075
Deaths,South Carolina,Female,All ages,Cervical cancer,Rate,1982,6.056557141623667,6.4611268443423056,5.618055790933906
Deaths,Mississippi,Female,All ages,Cervical cancer,Number,1982,89.57579354549758,96.40695600093481,82.75948668403277
