"","country","cohort_size","current_cov","curr_vacc_cohort_size","future_cov","future_vacc_cohort_size","curr_cc_prev","curr_mort_prev","curr_cost","curr_cost_prev","proj_cc_prev","proj_mort_prev","proj_cost","proj_cost_prev","year","current_net_cost","country_name","region","income_group"
"1","AFG",473983.89,0,368163.9,0.9,368163.9,0,0,0,0,2849.51,2204.44,5154294.6,2133772.79,2011,0,"Afghanistan","South Asia","Low income"
"2","AGO",387316.54,0,274867.2,0.9,274867.2,0,0,0,0,7987.78,5811.51,6596812.8,7076507.56,2011,0,"Angola","Sub-Saharan Africa","Lower middle income"
"3","ALB",25696.31,0,22444.2,0.9,22444.2,0,0,0,0,130.98,79.32,941758.63,80429.8,2011,0,"Albania","Europe & Central Asia","Upper middle income"
"4","ARE",32990.52,0,29344.5,0.9,29344.5,0,0,0,0,218.83,164.72,8363182.5,154966.73,2011,0,"United Arab Emirates","Middle East & North Africa","High income"
"5","ARG",349721.5,0,307814.4,0.9,307814.4,0,0,0,0,4150.59,2705.17,12915892.22,14574828.32,2011,0,"Argentina","Latin America & Caribbean","Upper middle income"
"6","ARM",16477.03,0,14290.2,0.9,14290.2,0,0,0,0,117.22,86.17,342964.8,79683.53,2011,0,"Armenia","Europe & Central Asia","Upper middle income"
"7","AUS",136381.88,0.63,121956.3,0.9,121956.3,418.79,224.71,24330281.85,652060.22,598.27,321.01,34757545.5,931514.59,2011,23678221.63,"Australia","East Asia & Pacific","High income"
"8","AUT",42055.66,0,37627.2,0.9,37627.2,0,0,0,0,202.6,105.44,10723752,298518.01,2011,0,"Austria","Europe & Central Asia","High income"
"9","AZE",69405.11,0,57986.1,0.9,57986.1,0,0,0,0,352.62,237.73,1391666.4,258215.83,2011,0,"Azerbaijan","Europe & Central Asia","Upper middle income"
"10","BDI",131658.51,0,98010,0.9,98010,0,0,0,0,3578.88,2981.83,1372140,3503870.86,2011,0,"Burundi","Sub-Saharan Africa","Low income"
"11","BEL",59776.01,0,53462.7,0.9,53462.7,0,0,0,0,370.65,167.84,15236869.5,532933.19,2011,0,"Belgium","Europe & Central Asia","High income"
"12","BEN",138138.47,0,104714.1,0.9,104714.1,0,0,0,0,1155.9,851.05,1465997.4,676731.35,2011,0,"Benin","Sub-Saharan Africa","Lower middle income"
"13","BFA",251815.46,0,181875.6,0.9,181875.6,0,0,0,0,2291.15,1898,2546258.4,1271968.35,2011,0,"Burkina Faso","Sub-Saharan Africa","Low income"
"14","BGD",1723952.6,0,1409779.8,0.9,1409779.8,0,0,0,0,11695.91,8164.01,19736917.2,8494294.43,2011,0,"Bangladesh","South Asia","Lower middle income"
"15","BGR",28986.42,0,25640.1,0.9,25640.1,0,0,0,0,374.62,203.6,1075858.6,241186.79,2011,0,"Bulgaria","Europe & Central Asia","Upper middle income"
"16","BHR",7728.63,0,6849,0.9,6849,0,0,0,0,32.48,21.49,1951965,25733.43,2011,0,"Bahrain","Middle East & North Africa","High income"
"17","BHS",3295.35,0,2910.6,0.9,2910.6,0,0,0,0,45.3,33.33,829521,39347.91,2011,0,"Bahamas, The","Latin America & Caribbean","High income"
"18","BIH",22474.28,0,19953,0.9,19953,0,0,0,0,198.95,109.76,837227.88,124074.29,2011,0,"Bosnia and Herzegovina","Europe & Central Asia","Upper middle income"
"19","BLR",42807.03,0,37919.7,0.9,37919.7,0,0,0,0,347.49,159.39,1591110.61,882556.58,2011,0,"Belarus","Europe & Central Asia","Upper middle income"
"20","BLZ",3945.48,0,3456,0.9,3456,0,0,0,0,68.83,67.08,145013.76,57065.54,2011,0,"Belize","Latin America & Caribbean","Upper middle income"
"21","BOL",122522.43,0,98564.4,0.9,98564.4,0,0,0,0,2568.04,1938.58,2365545.6,1621867.36,2011,0,"Bolivia","Latin America & Caribbean","Lower middle income"
"22","BRA",1760563.09,0,1525958.1,0.9,1525958.1,0,0,0,0,19607.64,11817.58,64029201.88,21936741.76,2011,0,"Brazil","Latin America & Caribbean","Upper middle income"
"23","BRB",1887.17,0,1672.2,0.9,1672.2,0,0,0,0,29.78,20.25,476577,21278.92,2011,0,"Barbados","Latin America & Caribbean","High income"
"24","BRN",3452.75,0,3067.2,0.9,3067.2,0,0,0,0,42.68,13.96,874152,47655.35,2011,0,"Brunei Darussalam","East Asia & Pacific","High income"
"25","BTN",8024.53,0.69,6636.6,0.9,6636.6,55.58,37.11,122113.44,38876.83,72.5,48.4,159278.4,50708.91,2011,83236.61,"Bhutan","South Asia","Lower middle income"
"26","BWA",22794.42,0,18813.6,0.9,18813.6,0,0,0,0,584.89,406.24,789418.66,435591.38,2011,0,"Botswana","Sub-Saharan Africa","Upper middle income"
"27","CAF",70731.34,0,51268.5,0.9,51268.5,0,0,0,0,696.99,571.49,717759,553763.43,2011,0,"Central African Republic","Sub-Saharan Africa","Low income"
"28","CAN",187550.36,0,167725.8,0.9,167725.8,0,0,0,0,844.67,482.24,47801853,1637988.12,2011,0,"Canada","North America","High income"
"29","CHE",39920.07,0.51,35726.4,0.9,35726.4,76.97,41.75,5769813.6,99571.35,135.84,73.67,10182024,175714.14,2011,5670242.25,"Switzerland","Europe & Central Asia","High income"
"30","CHL",128863.54,0,114469.2,0.9,114469.2,0,0,0,0,1392.63,954.52,4803127.63,1300348.22,2011,0,"Chile","Latin America & Caribbean","High income"
"31","CHN",8446882.01,0,7299467.1,0.9,7299467.1,0,0,0,0,61806.21,39088.04,306285639.52,44667943.45,2011,0,"China","East Asia & Pacific","Upper middle income"
"32","CIV",320744.04,0,243841.5,0.9,243841.5,0,0,0,0,5338.21,4137.74,5852196,3282554.43,2011,0,"Côte d’Ivoire","Sub-Saharan Africa","Lower middle income"
"33","CMR",303684.12,0,228185.1,0.9,228185.1,0,0,0,0,4968.94,3675.13,5476442.4,2940801.88,2011,0,"Cameroon","Sub-Saharan Africa","Lower middle income"
"34","COD",1011050.4,0,734976,0.9,734976,0,0,0,0,18002.06,14395.34,10289664,15965383.98,2011,0,"Congo, Dem. Rep.","Sub-Saharan Africa","Low income"
"35","COG",57122.37,0,45478.8,0.9,45478.8,0,0,0,0,853.15,591.73,1091491.2,316082.3,2011,0,"Congo, Rep.","Sub-Saharan Africa","Lower middle income"
"36","COL",430125.99,0,377223.3,0.9,377223.3,0,0,0,0,5900.89,4038,15828289.67,5414212.98,2011,0,"Colombia","Latin America & Caribbean","Upper middle income"
"37","COM",9290.91,0,7475.4,0.9,7475.4,0,0,0,0,295.73,227.77,104655.6,175729.99,2011,0,"Comoros","Sub-Saharan Africa","Lower middle income"
"38","CPV",5477.3,0,4729.5,0.9,4729.5,0,0,0,0,72.75,65.03,198449.82,40705.64,2011,0,"Cabo Verde","Sub-Saharan Africa","Lower middle income"
"39","CRI",38824.51,0,34428.6,0.9,34428.6,0,0,0,0,310.38,277.34,1444624.06,285937.07,2011,0,"Costa Rica","Latin America & Caribbean","Upper middle income"
"40","CYP",6757.89,0,6036.3,0.9,6036.3,0,0,0,0,31.7,39.42,1720345.5,25359.88,2011,0,"Cyprus","Europe & Central Asia","High income"
"41","CZE",42011.77,0,37562.4,0.9,37562.4,0,0,0,0,317.59,191.75,10705284,461364.1,2011,0,"Czech Republic","Europe & Central Asia","High income"
"42","DEU",388486.32,0.27,347670,0.9,347670,680.27,341.21,29725785,997003.27,2267.57,1137.37,99085950,3323344.22,2011,28728781.73,"Germany","Europe & Central Asia","High income"
"43","DJI",9396.04,0,7428.6,0.9,7428.6,0,0,0,0,91.66,73.18,178286.4,56934.3,2011,0,"Djibouti","Middle East & North Africa","Lower middle income"
"44","DNK",33488.25,0.68,29961.9,0.9,29961.9,191.55,88.9,6451795.8,271780.37,253.53,117.66,8539141.5,359709.31,2011,6180015.43,"Denmark","Europe & Central Asia","High income"
"45","DOM",101230.55,0,87336,0.9,87336,0,0,0,0,1788.7,1458.52,3664618.56,1570529.81,2011,0,"Dominican Republic","Latin America & Caribbean","Upper middle income"
"46","DZA",298241.01,0,256221.9,0.9,256221.9,0,0,0,0,2158.42,1412.67,10751070.92,1233386.84,2011,0,"Algeria","Middle East & North Africa","Lower middle income"
"47","ECU",158546.87,0,137259.9,0.9,137259.9,0,0,0,0,2755.7,1931.96,5759425.4,1700590.39,2011,0,"Ecuador","Latin America & Caribbean","Upper middle income"
"48","EGY",869442.97,0,746054.1,0.9,746054.1,0,0,0,0,2552.1,1916.99,31304430.04,3193293.25,2011,0,"Egypt, Arab Rep.","Middle East & North Africa","Lower middle income"
"49","ESP",217094.34,0.63,194235.3,0.9,194235.3,679.78,338.2,38749942.35,921585.87,971.11,483.14,55357060.5,1316551.24,2011,37828356.48,"Spain","Europe & Central Asia","High income"
