dose,state,year,age,val
"≥1 Dose, Males",New York,2023,13-17 Years,81.5
"≥1 Dose, Males and Females",New York,2023,13-17 Years,79.4
"Up-to-Date, Males",New York,2023,13-17 Years,67.8
"≥1 Dose, Females",New York,2023,13-17 Years,77.2
"Up-to-Date, Males and Females",New York,2023,13-17 Years,68.6
"Up-to-Date, Females",New York,2023,13-17 Years,69.3
"≥2 Doses, Females",New York,2022,13-17 Years,69.0
"≥3 Doses, Males and Females",New York,2014,13-17 Years,34.2
"≥3 Doses, Males and Females",New York,2015,13-17 Years,42.6
"≥3 Doses, Males and Females",New York,2013,13-17 Years,32.0
"≥3 Doses, Males and Females",New York,2011,13-17 Years,17.4
"≥3 Doses, Males and Females",New York,2012,13-17 Years,22.2
"Up-to-Date, Females",New Hampshire,2023,13-17 Years,75.1
"Up-to-Date, Males and Females",New Hampshire,2023,13-17 Years,70.6
"Up-to-Date, Males",New Hampshire,2023,13-17 Years,66.2
"≥1 Dose, Females",New Hampshire,2023,13-17 Years,87.6
"≥1 Dose, Males and Females",New Hampshire,2023,13-17 Years,85.6
"≥1 Dose, Males",New Hampshire,2023,13-17 Years,83.7
"≥2 Doses, Males and Females",New Hampshire,2022,13-17 Years,76.7
"≥2 Doses, Males",New Hampshire,2022,13-17 Years,75.9
"≥2 Doses, Females",New Hampshire,2022,13-17 Years,77.7
"≥3 Doses, Males and Females",New Hampshire,2012,13-17 Years,18.7
"≥3 Doses, Males and Females",New Hampshire,2011,13-17 Years,23.2
"≥3 Doses, Males and Females",New Hampshire,2013,13-17 Years,30.1
"≥3 Doses, Males and Females",New Hampshire,2015,13-17 Years,49.2
"≥3 Doses, Males and Females",New Hampshire,2014,13-17 Years,41.3
"≥2 Doses, Males and Females",New Hampshire,2018,13-17 Years,69.2
"≥1 Dose, Females",New Hampshire,2019,13-17 Years,80.0
"≥1 Dose, Females",New Hampshire,2020,13-17 Years,83.2
"≥1 Dose, Females",New Hampshire,2021,13-17 Years,86.9
"≥1 Dose, Females",New Hampshire,2022,13-17 Years,85.8
"≥2 Doses, Males and Females",New Hampshire,2017,13-17 Years,63.4
"≥2 Doses, Males and Females",New Hampshire,2016,13-17 Years,58.3
"≥1 Dose, Males",New Hampshire,2016,13-17 Years,69.3
"≥1 Dose, Males",New Hampshire,2015,13-17 Years,69.8
"≥1 Dose, Males",New Hampshire,2014,13-17 Years,56.1
"≥1 Dose, Males",New Hampshire,2013,13-17 Years,41.4
"≥1 Dose, Males",New Hampshire,2017,13-17 Years,73.3
"≥2 Doses, Males and Females",New Hampshire,2019,13-17 Years,64.4
"≥1 Dose, Females",New Hampshire,2008,13-17 Years,54.4
"≥1 Dose, Females",New Hampshire,2009,13-17 Years,60.0
"≥1 Dose, Females",New Hampshire,2010,13-17 Years,49.6
"≥1 Dose, Females",New Hampshire,2011,13-17 Years,65.8
"≥1 Dose, Females",New Hampshire,2012,13-17 Years,52.2
"≥1 Dose, Females",New Hampshire,2013,13-17 Years,68.0
"≥1 Dose, Females",New Hampshire,2014,13-17 Years,71.0
"≥1 Dose, Females",New Hampshire,2015,13-17 Years,74.2
"≥1 Dose, Males",New Hampshire,2018,13-17 Years,75.1
"≥1 Dose, Males",New Hampshire,2012,13-17 Years,20.5
"≥1 Dose, Males",New Hampshire,2020,13-17 Years,81.8
"≥1 Dose, Males",New Hampshire,2021,13-17 Years,82.4
"≥1 Dose, Males",New Hampshire,2019,13-17 Years,70.4
"≥1 Dose, Females",New Hampshire,2017,13-17 Years,75.2
"≥1 Dose, Females",New Hampshire,2016,13-17 Years,70.6
