cohort_size,current_cov,curr_vacc_cohort_size,future_cov,future_vacc_cohort_size,curr_cc_prev,curr_mort_prev,curr_cost,curr_cost_prev,proj_cc_prev,proj_mort_prev,proj_cost,proj_cost_prev,year,current_net_cost,country
2034208.78,0.3,1816028.1,0.9,1816028.1,3309.71,1678.42,172522669.5,6618281.07,9929.14,5035.26,517568008.5,19854843.21,2015,165904388.43,United States
2039953.92,0.26,1821093.3,0.9,1821093.3,2872.74,1454.98,149936681.7,5744490.73,9944.11,5036.47,519011590.5,19884775.62,2014,144192190.97,United States
2043656.05,0.23,1823372.1,0.9,1823372.1,2534.9,1278.94,132802267.95,5068932.99,9919.19,5004.54,519661048.5,19834955.16,2011,127733334.96,United States
2043845.6,0.23,1823406.3,0.9,1823406.3,2531.52,1275.39,132804758.85,5062159.5,9905.94,4990.64,519670795.5,19808450.23,2010,127742599.35,United States
2048158.45,0.26,1828353.6,0.9,1828353.6,2880.77,1457.32,150534446.4,5760547.53,9971.9,5044.58,521080776.0,19940356.85,2013,144773898.87,United States
2049105.28,0.2,1829134.8,0.9,1829134.8,2214.49,1119.03,115845204.0,4428210.58,9965.2,5035.63,521303418.0,19926947.62,2012,111416993.42,United States
2051245.26,0.36,1831283.1,0.9,1831283.1,4010.56,2036.6,208766273.4,8019741.89,10026.41,5091.5,521915683.5,20049354.73,2016,200746531.51,United States
2069658.35,0.44,1848008.7,0.9,1848008.7,4953.91,2519.29,257489212.2,9906109.41,10133.0,5153.1,526682479.5,20262496.52,2017,247583102.79,United States
2081795.34,0.39,1858894.2,0.9,1858894.2,4421.22,2250.59,229573433.7,8840921.0,10202.83,5193.67,529784847.0,20402125.39,2018,220732512.7,United States
2092235.42,0.49,1868265.0,0.9,1868265.0,5588.81,2847.85,289892452.5,11175687.34,10265.16,5230.75,532455525.0,20526772.67,2019,278716765.16,United States
2092297.95,0.48,1868369.4,0.9,1868369.4,5481.26,2796.05,283992148.8,10960628.65,10277.37,5242.6,532485279.0,20551178.72,2020,273031520.15,United States
