city,pop_2010,val,lower,upper,year,state
Anchorage,291826,4293.9,4161.1,4412.9,2014,Alaska
Anchorage,291826,4339.7,4208.5,4461.3,2016,Alaska
Birmingham,212044,7149.9,6877.1,7393.5,2014,Alabama
Birmingham,212044,7653.5,7445.5,7838.0,2016,Alabama
Hoover,81592,2396.6,2328.7,2453.4,2016,Alabama
Hoover,81592,2402.0,2332.8,2459.2,2014,Alabama
Huntsville,180005,4791.0,4643.3,4922.8,2014,Alabama
Huntsville,180005,4806.8,4660.6,4937.8,2016,Alabama
Mobile,195045,6009.5,5796.0,6205.3,2014,Alabama
Mobile,195045,6400.2,6233.7,6551.3,2016,Alabama
Montgomery,205733,4866.0,4704.1,5015.0,2014,Alabama
Montgomery,205733,5119.8,4988.3,5241.2,2016,Alabama
Tuscaloosa,90437,2647.5,2519.3,2762.5,2014,Alabama
Tuscaloosa,90437,2888.5,2791.3,2974.7,2016,Alabama
Fayetteville,73579,1227.8,1171.1,1278.4,2014,Arkansas
Fort Smith,86209,1533.3,1471.8,1592.7,2014,Arkansas
Jonesboro,67257,1067.8,1023.5,1109.2,2014,Arkansas
Little Rock,193515,4150.5,4027.5,4261.3,2014,Arkansas
Springdale,69797,1201.2,1154.8,1245.9,2014,Arkansas
Avondale,76215,1673.3,1626.5,1717.9,2014,Arizona
Chandler,236069,4906.3,4765.9,5029.7,2014,Arizona
Gilbert,208449,3807.0,3705.2,3894.0,2014,Arizona
Glendale,226617,4503.4,4361.9,4637.6,2014,Arizona
Mesa,439005,9558.6,9222.9,9868.9,2014,Arizona
Peoria,153981,3508.8,3396.8,3610.8,2014,Arizona
Phoenix,1444922,27451.0,26512.7,28338.0,2014,Arizona
Scottsdale,217340,5123.4,4956.9,5258.6,2014,Arizona
Surprise,117509,2290.0,2202.5,2364.6,2014,Arizona
Tempe,161719,3031.3,2907.6,3139.9,2014,Arizona
Tucson,520051,10511.9,10105.7,10890.4,2014,Arizona
Yuma,93026,2224.7,2139.7,2306.2,2014,Arizona
Alameda,73812,1292.0,1254.3999999999999,1325.9,2014,California
Alameda,73812,1311.7,1275.8,1343.6,2016,California
Alhambra,83089,1462.9,1397.1,1525.7,2014,California
Alhambra,83089,1576.3,1522.3999999999999,1627.5,2016,California
Anaheim,336229,5822.7,5634.7,6003.3,2014,California
Anaheim,336229,6130.4,5975.6,6276.0,2016,California
Antioch,102372,1616.9,1579.0,1652.7,2014,California
Antioch,102372,1660.8,1627.5,1692.8,2016,California
Apple Valley,69103,962.9,934.2,988.6999999999999,2014,California
Apple Valley,69103,993.3,968.9,1016.3,2016,California
Bakersfield,347397,6234.3,6037.7,6419.7,2014,California
Bakersfield,347397,6547.3,6380.1,6702.2,2016,California
Baldwin Park,75390,1397.9,1348.7,1447.2,2014,California
Baldwin Park,75390,1500.8,1463.8,1536.8,2016,California
Bellflower,76616,1428.6,1394.0,1460.7,2014,California
Bellflower,76616,1520.9,1495.2,1546.1,2016,California
Berkeley,112580,2698.8,2621.9,2765.3,2014,California
Berkeley,112580,2753.2,2677.8,2818.4,2016,California
Buena Park,80530,1384.2,1340.6000000000001,1425.5,2014,California
Buena Park,80530,1441.3,1404.5,1476.1,2016,California
Burbank,103340,1916.1,1870.3,1957.5,2014,California
Burbank,103340,1968.0,1929.4,2002.8,2016,California
Carlsbad,105326,1704.7,1654.1,1745.9,2014,California
Carlsbad,105326,1750.1,1707.3,1784.9,2016,California
Carson,91672,1510.8,1465.7,1553.2,2014,California
Carson,91672,1577.3,1541.0,1612.6,2016,California
Chico,86186,1795.8999999999999,1718.1,1866.4,2014,California
